"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
65861,"0","1","1","0",7,3,0,NA,"1","1",2,6,"0",NA,NA,1,NA,5,529,2018,1
14236,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,841,2018,10
10594,"0","0","1","1",4,NA,2,0,"0","0",1,1,"1",2,NA,2,NA,0,784,2016,12
51352,"1","0","0","0",6,NA,0,2,"0","1",2,5,"1",6,8,8,4,3,484,2016,3
60340,"0","0","1","0",3,NA,1,1,"1","1",8,10,"1",6,6,1,2,0,484,2016,7
50578,"0","0","0","0",4,15,1,NA,"0","1",5,9,"1",NA,NA,7,NA,9,625,2018,4
26803,"0","1","0","0",4,NA,1,1,"0","1",1,2,"0",4,2,8,NA,1,625,2016,6
56134,"0","0","0","0",7,NA,0,2,"1","1",1,10,"0",2,NA,7,NA,8,529,2016,11
60962,"1","0","1","1",4,NA,0,0,"1","0",1,10,"0",8,NA,5,NA,9,484,2016,10
69525,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,529,2017,9
49366,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,625,2018,6
29286,"1","0","1","1",3,NA,0,1,"1","1",1,6,"1",6,7,4,3,7,676,2017,2
12337,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,841,2018,6
27987,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,729,2018,5
69547,"0","1","1","0",11,NA,0,1,"1","1",4,1,"1",2,NA,3,NA,-2,484,2016,9
76199,"0","1","0","0",1,NA,1,1,"0","1",8,10,"0",4,8,7,NA,1,441,2016,5
30714,"1","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,729,2018,7
80631,"0","0","0","0",5,NA,0,3,"0","1",4,8,"0",4,5,4,NA,3,400,2016,2
76384,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,529,2018,9
10858,"0","0","1","0",4,3,3,NA,"1","1",6,10,"1",NA,NA,6,NA,8,841,2018,2
21542,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,784,2018,5
71375,"1","0","0","1",4,NA,0,0,"1","0",1,10,"1",7,6,7,2,8,441,2016,3
43299,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,625,2017,8
86144,"0","0","0","1",5,NA,1,1,"0","1",4,7,"0",7,9,6,NA,1,361,2016,3
100893,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,361,2018,5
54260,"0","0","0","0",10,5,1,NA,"1","1",2,10,"0",9,9,3,3,7,529,2017,2
27539,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,NA,9,NA,NA,625,2016,3
646,"0","1","0","0",4,1,0,NA,"0","1",2,8,"0",NA,NA,0,NA,6,1156,2017,8
7217,"0","0","0","0",2,NA,1,1,"0","1",1,5,"0",5,NA,6,NA,2,841,2017,3
101913,"0","0","0","0",3,1,0,NA,"1","0",4,1,"0",7,NA,9,NA,-2,289,2017,5
41058,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,8,0,4,NA,529,2016,5
